MAE,MAPE,MSE,RMSE,baseline_MAE_mean,baseline_MAE_std,baseline_MAPE_mean,baseline_MAPE_std,baseline_MSE_mean,baseline_MSE_std,baseline_RMSE_mean,baseline_RMSE_std,baseline_runs,dataset,enhance_activation,epochs,final_loss,initial_loss,l2,learning_rate,map_activation,method,n_enhance,n_map,n_sequences,n_train,seed,smooth_l1_delta,split_id,timestamp,train_length
0.02688520669208715,0.007716233957191736,0.0014319543287359098,0.03630153949319691,0.040136723034225816,0.00034349200312220457,0.011325395996645407,0.00010112061508161739,0.002677522986921698,5.7274759284728435e-05,0.05044618335697106,0.0005189686169682542,5.0,NASA,sigmoid,20000,0.001839919733215679,0.4534159112365665,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,3,1.0,Dis_RW4.mat,2026-05-24T19:53:00,60
0.03762745428562092,0.010919314139837422,0.0036619568230498423,0.055112750420693815,0.040136723034225816,0.00034349200312220457,0.011325395996645407,0.00010112061508161739,0.002677522986921698,5.7274759284728435e-05,0.05044618335697106,0.0005189686169682542,5.0,NASA,sigmoid,20000,0.0018100453299450332,0.4534159112365665,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,4,1.0,Dis_RW4.mat,2026-05-24T19:53:00,60
0.044954011501973645,0.012901271709598379,0.003493300698541123,0.05737692205529886,0.040136723034225816,0.00034349200312220457,0.011325395996645407,0.00010112061508161739,0.002677522986921698,5.7274759284728435e-05,0.05044618335697106,0.0005189686169682542,5.0,NASA,sigmoid,20000,0.020641274000319166,0.4534159112365665,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,5,1.0,Dis_RW4.mat,2026-05-24T19:53:00,60
0.019759562399071173,0.00563944117159414,0.0008015746196719139,0.025934504026855945,0.041002139164938056,0.0010079792674876089,0.011567270013648424,0.00028434012407663276,0.002926121922060869,0.0001226206246419665,0.052368637535037135,0.0010141810699774705,5.0,NASA,sigmoid,20000,0.0019898615766270437,0.4811561746251006,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,1,1.0,Dis_RW5.mat,2026-05-24T19:53:00,60
0.020559952463623802,0.005902159091179826,0.0009405918204544098,0.02771221444397836,0.041002139164938056,0.0010079792674876089,0.011567270013648424,0.00028434012407663276,0.002926121922060869,0.0001226206246419665,0.052368637535037135,0.0010141810699774705,5.0,NASA,sigmoid,20000,0.0019946725661971966,0.4811561746251006,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,2,1.0,Dis_RW5.mat,2026-05-24T19:53:00,60
0.026157893546033963,0.007526694287170269,0.001390385935331349,0.034477827460173395,0.041002139164938056,0.0010079792674876089,0.011567270013648424,0.00028434012407663276,0.002926121922060869,0.0001226206246419665,0.052368637535037135,0.0010141810699774705,5.0,NASA,sigmoid,20000,0.0020805324737307395,0.4811561746251006,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,3,1.0,Dis_RW5.mat,2026-05-24T19:53:00,60
0.02465925750844972,0.007114328929353375,0.00168227606641878,0.03592177415879283,0.041002139164938056,0.0010079792674876089,0.011567270013648424,0.00028434012407663276,0.002926121922060869,0.0001226206246419665,0.052368637535037135,0.0010141810699774705,5.0,NASA,sigmoid,20000,0.001958781416433341,0.4811561746251006,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,4,1.0,Dis_RW5.mat,2026-05-24T19:53:00,60
0.02446007347351171,0.007018425486535643,0.0012301595143819285,0.032303893616947785,0.041002139164938056,0.0010079792674876089,0.011567270013648424,0.00028434012407663276,0.002926121922060869,0.0001226206246419665,0.052368637535037135,0.0010141810699774705,5.0,NASA,sigmoid,20000,0.0019984643724707935,0.4811561746251006,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,5,1.0,Dis_RW5.mat,2026-05-24T19:53:00,60
0.017860961763523437,0.005122886732964902,0.0006329222648622688,0.02375472711392585,0.04181428797534579,0.00044608953335811916,0.01179794583320578,0.00012270320100416608,0.003096912177474184,6.694564233481652e-05,0.05472817798095695,0.0005480879275607641,5.0,NASA,sigmoid,20000,0.0013568573569102307,0.48657493869997465,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,1,1.0,Dis_RW6.mat,2026-05-24T19:53:00,60
0.019153360700256812,0.005471758642559735,0.0007076618078146172,0.025259299474779506,0.04181428797534579,0.00044608953335811916,0.01179794583320578,0.00012270320100416608,0.003096912177474184,6.694564233481652e-05,0.05472817798095695,0.0005480879275607641,5.0,NASA,sigmoid,20000,0.0013187509401188574,0.48657493869997465,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,2,1.0,Dis_RW6.mat,2026-05-24T19:53:00,60
